"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"Plate - 205mm  Sulp. Crest. Cock","8/4/2008","12:57:51","Belmont / Grovedale / Highton",3216,17.95,"Local","Shop Sales",-38.1747227,144.3139277
"Postcard-W/Front Aerial G'long 1-10008","17/3/2008","13:28:30","CLEVELAND - QLD",4163,0.95,"Local","Shop Sales",-27.5334347,153.2667742
"Nwm Membership - Family %","11/12/2011","12:24:09","East Geelong",3219,0,"Local","Membership Sales",-38.176358,144.3849841
"Magnet - Nwm Logo","9/3/2010","14:50:38","MURRAY BRIDGE - SA",5253,0.86,"Local","Shop Sales",-35.0218395,139.4872858
"%Nwm - Child Admit","10/4/2011","14:23:05","ABERFOYLE - NSW",2350,3.65,"Local","Ticket Sales",-30.4941859,151.9813913
"Oils - Gumnut 15 Ml","6/12/2013","1:42:30","Leopold",3224,5.91,"Local","Shop Sales",-38.1833957,144.4451578
"Nwm - Ghc Visitors","24/11/2014","12:26:14","Geelong",3220,0,"Local","Shop Sales",-38.155681,144.3521811
"Aust Poems/Captivate A Koala","8/4/2007","11:12:01","Five Ways",3977,14.95,"Local","Shop Sales",-38.1347885,145.2811778
"Postcards/Geelong Sunset/11ge005","28/10/2009","15:19:12","Boronia",3155,0.59,"Local","Shop Sales",-37.8610682,145.2867055
"Nwm Membership - Family %","15/1/2012","11:38:16","Torquay",3228,0,"Local","Membership Sales",-38.3419249,144.2374759
"Cardidouble Zip/741/Amber","30/9/2007","13:01:46","Huntly",3551,99.95,"Local","Shop Sales",-36.8021738,144.4779988
"Gloves/S/Skin/G781/Green/Light Gr Bow","4/7/2010","14:40:13","Geelong",3220,50,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","15/7/2011","11:02:09","Mount Helen",3350,7.5,"Local","Ticket Sales",-37.5691087,143.8563224
"Jmpr/Crew/1607/Asher/Wallaby/Ball Gold","27/12/2014","1:46:47","Melbourne",3000,180.91,"Local","Shop Sales",-37.8152065,144.963937
"Lamb - Lulu 11"" / 37011","12/5/2006","11:12:10","CAMBRIDGE GARDENS - NSW",2747,22.95,"Local","Shop Sales",-33.7568098,150.7330562
"%Nwm - Concess Admit","8/12/2013","11:49:12","Melton",3337,6,"Local","Ticket Sales",-37.6095412,144.5875645
"%Nwm - Child Admit","9/4/2010","13:14:54","Belmont / Grovedale / Highton",3216,3.65,"Local","Ticket Sales",-38.1747227,144.3139277
"Family Adult - NWM Only","12/1/2011","11:24:19","Kooyong",3144,0,"Local","Shop Sales",-37.8535148,145.0355574
"Socks-Nwm - Mens Dk Navy","24/9/2007","14:31:53","Airelys Inlet",3221,9.95,"Local","Shop Sales",-38.1636337,144.1501922
"Badge - Geelong Large","3/1/2009","15:45:37","AEROGLEN - QLD",4870,4.95,"Local","Shop Sales",-16.918648,145.7405497
"Jumper- Rugby 740/68 Sea","19/8/2010","12:00:10","Bacchus Marsh",3340,118.14,"Local","Shop Sales",-37.7356162,144.4123303
"Brooch - Silver Wattle Bush A477s","14/6/2009","12:52:03","Belmont / Grovedale / Highton",3216,19.95,"Local","Shop Sales",-38.1747227,144.3139277
"Melbourne (Nucol)","11/6/2005","14:13:47","Belmont / Grovedale / Highton",3216,9.95,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","9/11/2014","2:42:24","Geelong",3220,8.25,"Local","Ticket Sales",-38.155681,144.3521811
"Postcards/G O R / 3sc/ 11go190","24/2/2011","12:59:18","Geelong",3220,0.59,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","26/8/2014","3:06:49","Sandringham",3191,6.5,"Local","Ticket Sales",-37.9533967,145.0135139
"%Nwm - Concess Admit","21/8/2005","13:53:42","Nth Geelong",3215,5.9,"Local","Ticket Sales",-38.1083132,144.3357845
"Nwm - Ghc Visitors","6/8/2014","1:21:10","Pascoe Vale",3044,0,"Local","Shop Sales",-37.7310813,144.9364069
"Pendant - Round Glass Gold  Gp200004","22/9/2006","11:39:22","Nth Geelong",3215,29.95,"Local","Shop Sales",-38.1083132,144.3357845
"Scarf - Wool/Waffle","16/6/2007","13:08:15","Meredith",3333,65,"Local","Shop Sales",-37.8585983,144.0194472
"Postcards/4 Scene Geelong/11ge001/Dno","4/8/2013","3:07:49","Belmont / Grovedale / Highton",3216,0.59,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","10/3/2009","14:51:42","HOLDEN HILL - SA",5088,7.3,"Local","Ticket Sales",-34.8531022,138.6714773
"Family Adult - NWM Only","11/6/2006","14:00:22","Alexandra",3714,0,"Local","Shop Sales",-37.1872994,145.6245586
"%Nwm - Child Admit","6/7/2010","15:48:18","Deer Park",3023,3.65,"Local","Ticket Sales",-37.7687064,144.7521888
"%Nwm - Concess Admit","27/3/2014","10:17:32","Nth Geelong",3215,6,"Local","Ticket Sales",-38.1083132,144.3357845
"NWM - Free Admission","21/9/2009","11:38:00","East Geelong",3219,0,"Local","Shop Sales",-38.176358,144.3849841
"Waterball/Parrot/Lge","11/6/2014","11:37:16","Horsham",3400,13.59,"Local","Shop Sales",-36.7204107,142.1806128
"The Shearers","7/12/2006","11:13:46","East Geelong",3219,35,"Local","Shop Sales",-38.176358,144.3849841
"Postage Domestic","20/11/2007","9:45:21","Brighton",3186,4.4,"Local","Shop Sales",-37.9044002,144.9997396
"Postcard-W/Front Aerial G'long 1-10008","26/3/2010","10:05:10","Geelong",3220,0.86,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","22/8/2007","11:13:30","Leopold",3224,7.3,"Local","Ticket Sales",-38.1833957,144.4451578
"%Nwm - Concess Admit","14/12/2014","3:58:15","Geelong",3220,6.5,"Local","Ticket Sales",-38.155681,144.3521811
"Lanolin/Papillon Cream/100g","24/1/2007","12:09:45","CASULA - NSW",2170,4.95,"Local","Shop Sales",-33.9477825,150.9190988
"%Nwm - Child Admit","29/1/2013","12:44:29","Corio",3214,4,"Local","Ticket Sales",-38.0788809,144.3576473
"%Nwm - Adult Admit","9/7/2006","15:33:40","Colac",3250,7.3,"Local","Ticket Sales",-38.3313559,143.5852111
"%Nwm - Adult Admit","31/5/2008","13:32:54","BEDFORD HARBOUR - WA",6450,7.3,"Local","Ticket Sales",-33.6707296,122.2653887
"Jumper - Fuchsia 015","19/8/2005","16:23:06","Lara",3212,110,"Local","Shop Sales",-38.0110859,144.4561033
"%Nwm - Adult Admit","24/9/2012","1:50:59","Melbourne",3000,7.5,"Local","Ticket Sales",-37.8152065,144.963937
"Address Book - Leaf/Kangaroo Sml","17/4/2008","15:56:10","Nth Geelong",3215,9.95,"Local","Shop Sales",-38.1083132,144.3357845
"Stamps/Dino","11/1/2013","10:13:37","Belmont / Grovedale / Highton",3216,1.36,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","3/10/2014","3:01:25","Carlton North",3054,8.25,"Local","Ticket Sales",-37.7843702,144.9694441
"%Nwm - Adult Admit","27/10/2012","1:46:01","BLACKSTONE HEIGHTS - TAS",7250,7.5,"Local","Ticket Sales",-41.45012,147.0977983
"Stubby Coolers/Ssc 036","29/7/2013","3:31:21","East Geelong",3219,9.05,"Local","Shop Sales",-38.176358,144.3849841
"Beanie/Alpacca/Merino Snug","4/8/2007","13:54:22","Belmont / Grovedale / Highton",3216,35,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","8/2/2015","11:30:57","South Melb.",3205,6.5,"Local","Ticket Sales",-37.8338889,144.963937
"Pencil Top Eraser/Todo/Koala","30/9/2013","11:42:02","Beaufort",3373,3.59,"Local","Shop Sales",-37.4528631,143.3474304
"Koala Tin W Lollies","24/1/2008","11:12:01","Geelong",3220,7.95,"Local","Shop Sales",-38.155681,144.3521811
"Family Child - NWM Only","3/11/2008","13:27:36","Euroa",3666,0,"Local","Shop Sales",-36.7549385,145.5801757
"Postcards/Classic/Geelong/4 1403095","30/6/2009","12:59:20","Spotswood",3015,0.85,"Local","Shop Sales",-37.8352097,144.8786231
"Family Child - NWM Only","20/12/2012","1:47:53","East Geelong",3219,0,"Local","Shop Sales",-38.176358,144.3849841
"%Nwm - Child Admit","14/4/2014","11:12:36","West Geelong",3218,4,"Local","Ticket Sales",-38.1180538,144.2047333
"Echidna 877/24 - Harry","27/7/2010","9:36:43","Belmont / Grovedale / Highton",3216,18.14,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Child Admit","27/1/2012","2:00:21","Nth Geelong",3215,4,"Local","Ticket Sales",-38.1083132,144.3357845
"%Nwm - Adult Admit","9/8/2010","9:36:23","Ocean Grove",3226,7.3,"Local","Ticket Sales",-38.2573292,144.5382417
"%Nwm - Child Admit 50% Discount","10/11/2012","10:44:16","Geelong",3220,2,"Local","Ticket Sales",-38.155681,144.3521811
"%Nwm - Child Admit","11/1/2011","10:24:43","Geelong",3220,3.65,"Local","Ticket Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","28/2/2012","1:33:38","EPPING - NSW",2121,6,"Local","Ticket Sales",-33.7716764,151.0791612
"Complimentary Membership Nwm","29/8/2006","9:36:56","East Geelong",3219,0,"Local","Membership Sales",-38.176358,144.3849841
"NWM - Free Admission","24/9/2009","10:24:14","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","5/8/2005","11:20:28","Melbourne",3000,5.9,"Local","Ticket Sales",-37.8152065,144.963937
"Postcards/Geelong Marina/11ge002","14/3/2006","12:15:54","Bendigo",3550,0.65,"Local","Shop Sales",-36.7665875,144.2920769
"Tea Towel/ Apron Strip Art Ta-105sa","14/6/2008","15:47:23","Mill Park",3082,17.95,"Local","Shop Sales",-37.6649616,145.0658766
"Pen/Chrystalis/Gor","11/7/2005","13:51:43","Queenscliff",3225,4.95,"Local","Shop Sales",-38.2735587,144.5985292
"Koala 16cm/Swaggie /Long Fur/Auk16swl","21/12/2010","16:38:44","Ocean Grove",3226,13.59,"Local","Shop Sales",-38.2573292,144.5382417
"%Nwm - Adult Admit","21/4/2014","9:39:52","GREENWAY - ACT",2900,7.5,"Local","Ticket Sales",-35.4170279,149.0668705
"Illustrated Guide - Geelong And District","5/4/2013","9:47:05","Geelong",3220,4.55,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Child Admit","9/7/2014","10:43:05","West Geelong",3218,4,"Local","Ticket Sales",-38.1180538,144.2047333
"Snake- Wind Up","27/9/2009","13:57:30","BELLEVUE PARK - QLD",4215,5,"Local","Shop Sales",-27.965505,153.4036287
"Pens/Aboriginal","22/3/2014","11:37:34","Nth Geelong",3215,1.77,"Local","Shop Sales",-38.1083132,144.3357845
"Dig Out Dino Egg","24/2/2013","2:07:01","East Geelong",3219,5.41,"Local","Shop Sales",-38.176358,144.3849841
"%Nwm - 2 For 1 Child Adm","27/1/2011","9:18:46","Little River",3211,3.65,"Local","Ticket Sales",-37.9368044,144.4561033
"Socks-Nwm - Mens Fawn","25/9/2010","11:35:10","Belmont / Grovedale / Highton",3216,9.05,"Local","Shop Sales",-38.1747227,144.3139277
"NWM - Free Admission","14/10/2011","14:28:01","Geelong",3220,0,"Local","Shop Sales",-38.155681,144.3521811
"Koala/16cm/T-Shirt/Koa/16ss","13/1/2010","12:14:00","Belmont / Grovedale / Highton",3216,6.32,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","27/11/2011","11:03:38","East Geelong",3219,6,"Local","Ticket Sales",-38.176358,144.3849841
"Card - ""hope It's Insured""","12/6/2009","10:25:26","Barwon Heads",3227,4.5,"Local","Shop Sales",-38.2498059,144.4232713
"Sheep/Bean Sml","1/10/2011","14:49:14","Chelsea",3196,5.41,"Local","Shop Sales",-38.048116,145.1210303
"Student Entry (Foc)","25/5/2007","15:17:23","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","17/12/2006","14:28:34","Rushworth",3612,7.3,"Local","Ticket Sales",-36.602205,145.005249
"%Nwm - Adult Admit","5/4/2010","10:52:40","Mitcham",3132,7.3,"Local","Ticket Sales",-37.8219905,145.1983055
"Hot Pot Mats/Bush Blend/ Aboriginal","28/11/2005","16:26:25","Drysdale / Clifton Springs",3222,19.95,"Local","Shop Sales",-38.2049453,144.5875645
"Family Child - NWM Only","2/2/2011","12:28:27","Corio",3214,0,"Local","Shop Sales",-38.0788809,144.3576473
"Family Child - NWM Only","6/4/2013","12:16:48","Wodonga",3690,0,"Local","Shop Sales",-36.1118041,146.8423556
"Bollard/Base/Lifesaver Edt1","17/4/2013","1:54:34","BEROWRA HEIGHTS - NSW",2082,18.14,"Local","Shop Sales",-33.5988104,151.134494
"%Nwm - Child Admit","15/10/2014","11:25:33","Box Hill North",3129,4.5,"Local","Ticket Sales",-37.8052948,145.1210303
"Tea Towel - Sheep Crossing","2/12/2014","12:22:20","Nth Geelong",3215,8.14,"Local","Shop Sales",-38.1083132,144.3357845
"%Nwm - 2 For 1 Adult Adm","9/8/2009","13:38:33","Glen Waverley",3150,7.3,"Local","Ticket Sales",-37.8921876,145.1706992
"%Nwm - Adult Admit","13/11/2008","12:59:47","Belmont / Grovedale / Highton",3216,14.6,"Local","Ticket Sales",-38.1747227,144.3139277
"Tea Towel/G O Road Montage","10/12/2014","12:10:29","Belmont / Grovedale / Highton",3216,9.05,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","7/2/2015","10:53:21","Bairnsdale",3875,8.25,"Local","Ticket Sales",-37.6874281,147.5532762
"Keyring  Pewter - Kangaroo Rk03","20/5/2007","9:30:34","Geelong",3220,9.95,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","4/12/2012","4:57:02","Tongala",3621,7.5,"Local","Ticket Sales",-36.2331845,144.9832134
"Nwm - Ghc Visitors","29/5/2014","2:07:15","Torquay",3228,0,"Local","Shop Sales",-38.3419249,144.2374759
"Scarf/Rib/Topaz/E2014","5/4/2014","12:27:03","West Geelong",3218,77.23,"Local","Shop Sales",-38.1180538,144.2047333
"Choc Koalas 100g A2010","17/12/2010","14:14:52","Nth Geelong",3215,5,"Local","Shop Sales",-38.1083132,144.3357845
"Bookmark Gor/Trav Note","25/4/2015","3:19:52","Nth Geelong",3215,1.36,"Local","Shop Sales",-38.1083132,144.3357845
"%Nwm - Adult Admit","11/1/2012","10:01:05","Nth Geelong",3215,7.5,"Local","Ticket Sales",-38.1083132,144.3357845
"Bookmark - Sheep 4 Pics Prush","26/11/2010","11:16:13","Kangaroo Flat",3555,0.91,"Local","Shop Sales",-36.808032,144.2483931
"Magnet - Lamb String Legs","3/8/2009","12:15:25","AUDLEY - NSW",2232,7.95,"Local","Shop Sales",-34.0311029,151.0646032
"Pen/Geelong Wooden Pens","6/12/2007","13:13:55","Meredith",3333,22.95,"Local","Shop Sales",-37.8585983,144.0194472
"Lens Cloth","29/5/2014","2:37:20","Five Ways",3977,4.09,"Local","Shop Sales",-38.1347885,145.2811778
"%Nwm - Child Admit","13/5/2007","15:57:39","ROSEVILLE - NSW",2069,3.65,"Local","Ticket Sales",-33.7808794,151.195674
"Woolsheds","18/3/2013","2:17:16","SCOTTSDALE - TAS",7260,36.32,"Local","Shop Sales",-41.1510634,147.5014271
"Tea Towel/ Apron Wombat Cup","24/4/2013","11:07:46","Belmont / Grovedale / Highton",3216,16.32,"Local","Shop Sales",-38.1747227,144.3139277
"Luggage Tag/Aust 3d","18/4/2015","2:17:32","Bentleigh East",3165,2.68,"Local","Shop Sales",-37.9174873,145.0658766
"Card - Up Rode The Squatter As-Lrbp","12/11/2012","10:27:51","Hamilton",3300,3.59,"Local","Shop Sales",-37.783845,142.0003599
"Postcards - Bollards James Harrison","27/2/2009","10:17:46","Halls Gap",3381,1.5,"Local","Shop Sales",-37.1716807,142.5745556
"%Nwm - Adult Admit","14/8/2013","11:02:51","AEROGLEN - QLD",4870,7.5,"Local","Ticket Sales",-16.918648,145.7405497
"Flyer - Zone 5/Foc","25/1/2013","11:18:33","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"Card - Fixing The Windmill","18/6/2010","13:21:44","Bannockburn",3331,4.5,"Local","Shop Sales",-37.9939081,144.1938221
"%Nwm - Adult Admit","4/11/2007","14:04:12","Belmont / Grovedale / Highton",3216,7.3,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Group Child /Special Program","21/12/2011","11:12:46","Leopold",3224,5,"Local","Ticket Sales",-38.1833957,144.4451578
"%Nwm - Concess Admit","11/5/2010","11:18:24","Queenscliff",3225,5.9,"Local","Ticket Sales",-38.2735587,144.5985292
"Mug - Boronia - Splendid Fairy Wren","7/2/2006","13:48:12","East Geelong",3219,16.95,"Local","Shop Sales",-38.176358,144.3849841
"Card - Spirit Of Christmas","26/9/2007","11:23:06","Flemington",3031,1.95,"Local","Shop Sales",-37.790896,144.9198932
"Family Child - NWM Only","29/9/2008","12:19:43","Corio",3214,0,"Local","Shop Sales",-38.0788809,144.3576473
"Gift Card - Boobook Owl (J Boot)","24/2/2011","12:54:07","View Bank",3084,1.36,"Local","Shop Sales",-37.7436031,145.0769045
"Family Child - NWM Only","14/8/2010","14:43:53","Torquay",3228,0,"Local","Shop Sales",-38.3419249,144.2374759
"Coaster -  Kangaroo Wildlife","13/9/2011","15:08:34","Belmont / Grovedale / Highton",3216,25.27,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","30/12/2013","10:21:39","Port Melbourne",3207,7.5,"Local","Ticket Sales",-37.8315264,144.9226452
"%Nwm - Group Adult Adm","24/10/2005","11:14:03","Belmont / Grovedale / Highton",3216,5.5,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","15/6/2013","12:03:09","BEACH HOLM - QLD",4818,7.5,"Local","Ticket Sales",-19.2049974,146.5168094
"%Nwm - Family Adm(2+3)","4/1/2014","11:57:15","Mt.Dandenong",3767,25,"Local","Ticket Sales",-37.8421584,145.3420015
"Family Adult - NWM Only","18/1/2007","14:15:58","BANKSIA BEACH - QLD",4507,0,"Local","Shop Sales",-26.9861003,153.1325243
"Free Admission - Teddy Bears","5/6/2006","9:28:29","Belmont / Grovedale / Highton",3216,0,"Local","Shop Sales",-38.1747227,144.3139277
"Cardigan/Lds/Salamanca/Coral","17/5/2008","12:19:32","BOOKHAM - NSW",2582,215,"Local","Shop Sales",-34.9445333,148.8289611
"Handtowel/Koala & Baby","15/4/2013","2:58:36","Ocean Grove",3226,15.41,"Local","Shop Sales",-38.2573292,144.5382417
"Soap - Forest Blossom","26/5/2013","10:28:35","Daylesford",3460,9.95,"Local","Shop Sales",-37.3405241,144.1610974
"%Nwm - Group Adult/Special Program","29/6/2012","9:22:18","Geelong",3220,5.5,"Local","Ticket Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","27/3/2014","12:03:41","Belmont / Grovedale / Highton",3216,7.5,"Local","Ticket Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","25/8/2009","13:33:35","Belmont / Grovedale / Highton",3216,5.9,"Local","Ticket Sales",-38.1747227,144.3139277
"Pen - Aus Finger Puppet Pp-8444","30/5/2009","14:48:36","Geelong",3220,2.95,"Local","Shop Sales",-38.155681,144.3521811
"Vest - Tie Front/6407","16/6/2006","15:10:18","Werribee",3030,65,"Local","Shop Sales",-37.938058,144.6753231
"5"" Sitting-T-Rex","16/11/2008","15:26:33","Leopold",3224,10.95,"Local","Shop Sales",-38.1833957,144.4451578
"%Nwm - Adult Admit","3/8/2009","10:20:32","LANE COVE - NSW",2066,7.3,"Local","Ticket Sales",-33.8126017,151.1694511
"%Nwm - Child Admit","28/9/2011","10:40:57","Belmont / Grovedale / Highton",3216,4,"Local","Ticket Sales",-38.1747227,144.3139277
"Room Hire","25/5/2006","11:45:51","Geelong",3220,200,"Local","Shop Sales",-38.155681,144.3521811
"Choc Sheep W Macadamia A1095","17/6/2005","13:13:39","Belmont / Grovedale / Highton",3216,5.5,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Concess Admit","18/7/2006","13:59:18","Nth Geelong",3215,5.9,"Local","Ticket Sales",-38.1083132,144.3357845
"Nwm Membership - Adult %","24/9/2008","16:54:30","Meredith",3333,0,"Local","Membership Sales",-37.8585983,144.0194472
"Family Adult - NWM Only","25/10/2009","11:19:33","Wangaratta",3677,0,"Local","Shop Sales",-36.3742363,146.3264849
"Scarf/Merino Gold","14/8/2011","13:08:25","MENANGLE PARK - NSW",2563,27.23,"Local","Shop Sales",-34.1028697,150.7504879
"%Nwm - Child Admit","30/9/2008","10:02:17","West Geelong",3218,3.65,"Local","Ticket Sales",-38.1180538,144.2047333
"Card - Fairy Wren Male/M Cole","16/11/2012","2:56:31","Belmont / Grovedale / Highton",3216,5.41,"Local","Shop Sales",-38.1747227,144.3139277
"Ball - Hi Bounce Kanga/Koala","26/3/2011","14:12:59","Belmont / Grovedale / Highton",3216,9.09,"Local","Shop Sales",-38.1747227,144.3139277
"Lamb/Baby/Aust/Bow Sun11","22/12/2010","11:14:50","Hamilton",3300,4.5,"Local","Shop Sales",-37.783845,142.0003599
"%Nwm - Concess Admit","24/5/2008","15:35:21","Essendon",3040,5.9,"Local","Ticket Sales",-37.7493029,144.9006313
"Postcard - Corio Bay Nth 1-10023","6/2/2014","1:33:41","Belmont / Grovedale / Highton",3216,0.91,"Local","Shop Sales",-38.1747227,144.3139277
"Stole - Pip Assorted","7/12/2008","16:06:44","Geelong",3220,39.95,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","13/1/2010","12:58:54","Barwon Heads",3227,5.9,"Local","Ticket Sales",-38.2498059,144.4232713
"Magnet/#1 Emu With Attitude","16/3/2008","12:15:48","ARANDA - ACT",2614,3.95,"Local","Shop Sales",-35.2516136,149.0525253
"Keyring/Pom Pom/Sheep/Black","6/11/2012","10:36:13","St Leonards/Indented Head/Portarlington",3223,7.23,"Local","Shop Sales",-38.1610488,144.6753231
"Postcard/Rippleside Swimming Club","20/1/2015","4:03:27","Geelong",3220,11.36,"Local","Shop Sales",-38.155681,144.3521811
"Postcards - Bollards Town Bath Club","27/7/2011","11:48:59","CLIFTON BEACH - QLD",4879,1.36,"Local","Shop Sales",-16.7705777,145.6717627
"%Nwm - Family Adm (2+4)","15/12/2010","11:15:44","Yarragon",3823,20,"Local","Ticket Sales",-38.2245094,146.0584482
"%Nwm - Adult Admit","31/12/2008","12:39:07","Huntly",3551,7.3,"Local","Ticket Sales",-36.8021738,144.4779988
"Baby Boot/Sand/12-18mths","11/8/2009","12:16:27","Mortlake",3272,35,"Local","Shop Sales",-38.002399,142.8312661
"%Nwm - Concess Admit","22/6/2008","13:32:21","Leopold",3224,11.8,"Local","Ticket Sales",-38.1833957,144.4451578
"Pen - Nwm Regal Silver/Chrome","2/1/2010","11:39:13","AVENELL HEIGHTS - QLD",4670,9,"Local","Shop Sales",-24.8822309,152.3593807
"%Nwm -  Adult - Xmas In Woolshed","20/11/2007","11:05:08","Geelong",3220,3.65,"Local","Ticket Sales",-38.155681,144.3521811
"%Nwm - Adult Admit","10/7/2012","12:56:18","Chadstone",3148,7.5,"Local","Ticket Sales",-37.8819831,145.0989646
"Hand Cream - Kangaroo 60ml","10/12/2009","11:47:43","Belmont / Grovedale / Highton",3216,7.23,"Local","Shop Sales",-38.1747227,144.3139277
"%Nwm - Adult Admit","14/9/2007","15:12:28","GREEN FIELDS - SA",5107,7.3,"Local","Ticket Sales",-34.7811623,138.613832
"Stole - Twill 71005","15/5/2009","13:02:17","Belmont / Grovedale / Highton",3216,69,"Local","Shop Sales",-38.1747227,144.3139277
"Family Adult - NWM Only","3/1/2010","13:01:12","Glenroy",3046,0,"Local","Shop Sales",-37.7044261,144.9336544
"Puppet - Dino Triceratop","25/10/2008","16:43:39","Geelong",3220,14.95,"Local","Shop Sales",-38.155681,144.3521811
"%Nwm - Concess Admit","24/9/2011","14:08:20","Warrandyte",3113,6,"Local","Ticket Sales",-37.7386037,145.2148736
"Misc. NWM Shop Stock","14/11/2006","15:39:50","Melbourne",3000,3.95,"Local","Shop Sales",-37.8152065,144.963937
"%Nwm - Child Admit","17/6/2012","11:46:32","Flemington",3031,4,"Local","Ticket Sales",-37.790896,144.9198932
"%Nwm - Adult Admit","6/4/2014","2:17:53","Belmont / Grovedale / Highton",3216,7.5,"Local","Ticket Sales",-38.1747227,144.3139277
"Beanie/Milawa/Cerise/E2484","6/1/2015","12:25:37","Glen Waverley",3150,49.95,"Local","Shop Sales",-37.8921876,145.1706992
"%Nwm - Adult Admit","15/7/2010","11:30:17","MOUNT GAMBIER - SA",5290,43.8,"Local","Ticket Sales",-37.8256039,140.7712393
"Xmas/Ball/Sulphur Cockatoo","14/2/2012","12:11:30","Mentone",3194,16.32,"Local","Shop Sales",-37.9786189,145.0741474
"Bay Walk Bollards/Guide Book","15/10/2005","12:39:50","BLACKMANS POINT - NSW",2444,9.95,"Local","Shop Sales",-31.392698,152.8499952
"%Nwm - Concess Admit","5/8/2014","12:04:04","Hawthorn",3122,6.5,"Local","Ticket Sales",-37.8222114,145.0328017
"%Nwm - Concess Admit","5/7/2010","13:04:27","Bendigo",3550,5.9,"Local","Ticket Sales",-36.7665875,144.2920769
"Magnet/#10 Green Twisted","8/1/2007","10:38:40","CUNLIFFE - SA",5554,3.5,"Local","Shop Sales",-34.0020113,137.7243139
"%Nwm - Child Admit","24/1/2010","12:42:58","Leopold",3224,3.65,"Local","Ticket Sales",-38.1833957,144.4451578
"Jumper - 9409 Turtle/Diamond/Suede","9/7/2010","12:33:49","Belmont / Grovedale / Highton",3216,90,"Local","Shop Sales",-38.1747227,144.3139277
